ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
293,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-ssd-512gb.html,,,90,,,0,gaming aspire 7 a715-41g-r282,acer,amd,3550h,8,512,15.6,60,48,windows 10,,1920 x 1080,yes,,,2.1,yes,yes,363.4,yes,ips,no,,ssd,no,23.25,yes,yes,254.5,1,nvidia
294,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-acer-predator-helios-300-ram-16gb-300hz-vga-rtx-3060.html,,,4,38990000,,0,gaming predator helios 300 ph315-53-78tn nh.qausv.005,acer,intel,10750h,16,512,15.6,60,59,windows 10,nh.qausv.005,1920 x 1080,yes,,,2.2,,yes,750,yes,ips,yes,yes,ssd,no,23,yes,yes,145,1,nvidia
295,nvidia geforce rtx 3080,https://cellphones.com.vn/laptop-acer-predator-triton-500-se-pt516-51s-71rw.html,,,0,,,0,predator triton 500 se pt516-51s-71rw,acer,intel,11800h,16,1024,16,165,99,windows 10,,2560 x 1600,yes,,,2.4,yes,yes,358.5,yes,ips,yes,yes,ssd,yes,19.9,yes,yes,262.4,1,nvidia
296,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-acer-predator-triton-500-se-pt516-51s-733t.html,,,0,,,0,predator triton 500 se pt516-51s-733t,acer,intel,11800h,16,1024,16,165,99,windows 10,,2560 x 1600,yes,,,2.4,yes,yes,358.5,yes,ips,yes,yes,ssd,yes,19.9,yes,yes,262.4,1,nvidia
297,intel iris xe graphics,https://cellphones.com.vn/laptop-acer-swift-3-sf313-ram-16gb-13-5-inch.html,,,51,21490000,,0,swift 3 sf313-53-518y nx.a4jsv.003,acer,intel,1135g7,16,512,13.5,60,56,windows 10,nx.a4jsv.003,2256 x 1504,yes,,,1.2,,no,302.5,,ips,no,,ssd,no,15.95,yes,yes,233.88,1,intel
298,intel iris xe max,https://cellphones.com.vn/laptop-acer-swift-3x-sf314.html,,,70,20690000,,0,swift 3x sf314-510g-57mr nx.a10sv.004,acer,intel,1135g7,8,512,14,60,59,windows 10,nx.a10sv.004,1920 x 1080,no,,aluminum,1.37,yes,no,322.8,no,ips,no,,ssd,no,17.95,yes,yes,212.2,1,intel
299,intel iris xe graphics,https://cellphones.com.vn/laptop-acer-swift-5-sf514-55t-51nz.html,,,33,22990000,,0,swift 5 sf514-55t-51nz nx.hx9sv.002,acer,intel,1135g7,8,512,14,60,40,windows 10,nx.hx9sv.002,1920 x 1080,yes,,,,yes,no,318.9,no,ips,yes,,ssd,yes,14.95,yes,yes,206.98,1,intel
300,intel uhd graphics 600,https://cellphones.com.vn/laptop-asus-e210ma-gj083t.html,,,16,7290000,,0,e210ma-gj083t,asus,intel,n4020,4,128,11.6,60,,windows 10,e210ma-gj083t,1366 x 768,yes,,plastic,1.05,,no,279.1,no,tn,yes,,ssd,yes,16.9,yes,yes,191.2,1,intel
301,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-expertbook-b1500ceae-bq2033t.html,,,10,18990000,,0,expertbook b1500ceae-bq2033t,asus,intel,1135g7,8,512,15.6,60,42,windows 10,b1500ceae-bq2033t,1920 x 1080,yes,,aluminum,1.73,yes,yes,358,yes,ips,yes,yes,ssd,no,19.4,no,yes,236.5,1,intel
302,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-expertbook-b5-flip-b5302fea-lg0478t.html,,,0,,,0,expertbook b5 flip b5302fea-lg0478t,asus,intel,1135g7,8,512,13.3,60,66,windows 10,b5302fea-lg0478t,1920 x 1080,yes,,plastic,1.2,yes,yes,309,no,ips,no,,ssd,yes,16.9,no,yes,210.6,1,intel
303,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-expertbook-b5-flip-b5302fea-lg0557t.html,,,0,23390000,,0,expertbook b5 flip b5302fea-lg0557t,asus,intel,1135g7,8,512,13.3,60,66,windows 10,b5302fea-lg0557t,1920 x 1080,yes,,,1.2,yes,yes,309,no,,no,,ssd,yes,16.9,no,yes,210.6,1,intel
304,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-expertbook-b9400cea-kc0558t.html,,,11,,,0,expertbook b9400cea-kc0558t,asus,intel,1135g7,8,512,14,60,66,windows 10,b9400cea-kc0558t,1920 x 1080,yes,,aluminum,1.005,yes,yes,320,no,ips,yes,yes,ssd,yes,14.9,yes,yes,203,1,intel
305,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-expertbook-b9450fa-bm0324t.html,,,0,,,0,expertbook b9450fa-bm0324t,asus,intel,10210u,8,512,14,60,66,windows 10,b9450fa-bm0324t,1920 x 1080,yes,,,0.995,yes,yes,320,no,ips,no,,ssd,yes,14.9,yes,yes,203,1,intel
306,intel uhd graphics,https://cellphones.com.vn/laptop-asus-expertbook-b9450fa-bm0616r.html,,,0,,,0,expertbookb9450fa-bm0616r,asus,intel,10510u,16,1024,14,60,66,windows 10,b9450fa-bm0616r,1920 x 1080,yes,,aluminum,0,yes,no,320,no,ips,no,,ssd,no,14.9,yes,yes,203,1,intel
307,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-asus-fa506ii-al012t-amd-ryzen-5-4600h-ram-8gb-ssd-512gb-15-6inch-144hz-vga-4gb.html,,,108,,5,1,tuf gaming fa506ii-al012t,asus,amd,4600h,8,512,15.6,144,48,windows 10,fa506ii-al012t,1920 x 1080,yes,,,2.3,,yes,359.8,,,yes,yes,ssd,yes,22.8,yes,yes,256,1,nvidia
308,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-gaming-f15-fx506lh-bq046t.html,,,34,19490000,,0,gaming f15 fx506lh-bq046t,asus,intel,10300h,8,512,15.6,60,48,windows 10,fx506lh-bq046t,1920 x 1080,yes,,plastic,2.2,yes,yes,360,yes,ips,yes,yes,ssd,yes,25.8,no,yes,262,1,nvidia
309,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g512.html,,,103,22090000,,0,gaming rog strix g512,asus,intel,10300h,8,512,15.6,144,,windows 10,,1920 x 1080,yes,,plastic,2.39,yes,no,324,yes,ips,yes,,ssd,yes,19.9,yes,yes,225.9,1,nvidia
310,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g512-i7.html,,,15,,,0,gaming rog strix g512,asus,intel,10750h,8,512,15.6,144,48,windows 10,,1920 x 1080,yes,,,2.39,,no,324,,,yes,yes,ssd,yes,19.9,yes,yes,225.9,1,nvidia
311,nvidia geforce gtx 1650 ti,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g512-i7-10870h.html,,,11,26990000,,0,gaming rog strix g512-ihn281t,asus,intel,10870h,8,512,15.6,144,48,windows 10,g512-ihn281t,1920 x 1080,yes,,,2.39,,no,324,yes,,yes,,ssd,yes,19.9,yes,yes,225.9,1,nvidia
312,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g512-i7-vga-6gb.html,,,8,,,0,gaming rog strix g512l-uhn145t,asus,intel,10750h,8,512,15.6,144,66,windows 10,g512l-uhn145t,1920 x 1080,yes,,,2.3,,no,360,,,no,,ssd,yes,21,yes,yes,275,1,nvidia
313,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g531gt.html,,,33,,,0,gaming rog strix g531gt-hn554t,asus,intel,9750h,8,512,15.6,144,48,windows 10,g531gt-hn554t,1920 x 1080,yes,,,2.4,,yes,360,,,no,yes,ssd,no,21,no,yes,275,1,nvidia
314,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g531gt-17-3inch-120hz.html,,,14,,,0,gaming rog strix g731gt-h7114t,asus,intel,9750h,8,512,17,120,48,windows 10,g731gt-h7114t,1920 x 1080,yes,,,2.85,,yes,399,,,no,,ssd,no,26.5,no,yes,293,1,nvidia
315,nvidia geforce rtx 3080,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-scar-17-g733qs-k4135t.html,,,0,,,0,gaming rog strix scar 17 g733qs-k4135t,asus,amd,5900hx,32,1024,17.3,165,90,windows 10,g733qs-k4135t,2560 x 1440,yes,,,2.7,yes,yes,395,yes,ips,yes,yes,ssd,yes,23.4,yes,yes,282,1,nvidia
316,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga401qm-k2041t-tui.html,,,3,,,0,gaming rog zephyrus g14 ga401qm-k2041t,asus,amd,5900hs,32,1024,14,120,,windows 10,ga401qm-k2041t,2560 x 1440,yes,,,1.7,,no,324,yes,ips,no,,ssd,no,19.9,yes,yes,220,1,nvidia
317,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g15-ga503qc-hn074t.html,,,13,32990000,,0,gaming rog zephyrus g15 ga503qc-hn074t,asus,amd,5900hs,16,512,15.6,144,90,windows 10,ga503qc-hn074t,1920 x 1080,yes,,,1.9,yes,no,355,yes,ips,yes,,ssd,yes,19.9,yes,yes,243,1,nvidia
318,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6029t.html,,,3,77990000,,0,gaming rog flow x13 gv301qc-k6029t,asus,amd,5980hs,32,1024,13.4,120,62,windows 10,gv301qc-k6029t,1920 x 1200,yes,,,1.3,yes,no,299,yes,ips,no,,ssd,yes,15.8,yes,yes,222,1,nvidia
319,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6052t.html,,,16,38390000,,0,rog flow x13 gv301qc-k6052t,asus,amd,5900hs,16,512,13.4,120,62,windows 10,gv301qc-k6052t,1920 x 1200,yes,,,1.3,yes,no,299,no,ips,no,,ssd,yes,15.8,yes,yes,222,1,nvidia
320,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,,,31,26590000,,0,rog strix g15 g513ic-hn002t,asus,amd,4800h,8,512,15.6,144,56,windows 10,g513ic-hn002t,1920 x 1080,yes,,,2.1,yes,no,354,yes,ips,yes,,ssd,yes,20.6,yes,yes,259,1,nvidia
321,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ih-hn015t.html,,,147,23090000,4.5,2,gaming rog strix g15 g513ih-hn015t,asus,amd,4800h,8,512,15.6,144,56,windows 10,g513ih-hn015t,1920 x 1080,yes,,plastic,2.3,yes,yes,354,yes,ips,yes,yes,ssd,yes,22.6,yes,yes,259,1,nvidia
322,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513im-hn057t.html,,,20,31490000,,0,rog sttrix g15 g513im-hn057t,asus,amd,4800h,16,512,15.6,144,90,windows 10,g513im-hn057t,1920 x 1080,yes,,plastic,2.3,yes,no,354,yes,ips,yes,,ssd,yes,22.6,yes,yes,259,1,nvidia
323,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qc-hn015t.html,,,91,27790000,,0,gaming rog strix g15 g513qc-hn015t,asus,amd,5800h,8,512,15.6,144,56,windows 10,g513qc-hn015t,1920 x 1080,yes,,,2.3,yes,no,354,yes,ips,yes,,ssd,yes,20.7,yes,yes,259,1,nvidia
324,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qe-hn010t.html,,,10,30490000,,0,gaming rog strix g15 g513qe-hn010t,asus,amd,5800h,16,512,15.6,144,56,windows 10,g513qe-hn010t,1920 x 1080,yes,,,2.1,yes,yes,354,yes,ips,yes,,ssd,yes,20.7,yes,yes,259,1,nvidia
325,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qm-hf389t.html,,,5,,,0,gaming rog strix g15 g513qm-hf389t,asus,amd,5900hx,16,512,15.6,300,90,windows 10,g513qm-hf389t,1920 x 1080,yes,,plastic,2.3,yes,yes,354,yes,ips,yes,yes,ssd,yes,22.6,yes,yes,259,1,nvidia
326,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qr-hq096t.html,,,3,46490000,,0,gaming rog strix g15 g513qr-hq096t,asus,amd,5900hx,16,1024,15.6,165,90,windows 10,g513qr-hq096t,,yes,,,2.3,yes,yes,354,yes,ips,yes,,ssd,yes,22.6,yes,yes,259,1,nvidia
327,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qr-hq264t.html,,,1,46990000,,0,rog strix g15 g513qr-hq264t,asus,amd,5900hx,16,512,15.6,300,90,windows 10,g513qr-hq264t,1920 x 1080,yes,,,2.3,yes,yes,354,yes,ips,no,yes,ssd,yes,22.6,yes,yes,259,1,nvidia
328,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qr-k4148t.html,,,3,,,0,gaming rog strix g17 g713qr-k4148t,asus,amd,5900hx,16,1024,17.3,165,90,windows 10,g713qr-k4148t,2560 x 1440,yes,,,2.7,yes,yes,395,yes,ips,yes,,ssd,yes,23.4,yes,yes,282,1,nvidia
329,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-strix-scar-15-g533qm.html,,,6,47490000,,0,gaming rog strix scar 15 g533qm hf089t,asus,amd,5900hx,16,1024,15.6,300,90,windows 10,g533qm-hf089t,1920 x 1080,yes,,,2.5,,yes,354,yes,ips,yes,,ssd,yes,22.6,yes,yes,259,1,nvidia
330,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-zephyrus-duo-15-se-gx551qr-120hz.html,,,0,,,0,gaming rog zephyrus duo 15 se gx551qr-hb066t,asus,amd,5900hx,32,1024,15.6,120,90,windows 10,gx551qr-hb066t,3840 x 2160,yes,,,2.48,yes,yes,,yes,ips,yes,,ssd,yes,,yes,yes,,1,nvidia
331,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-zephyrus-duo-15-se-gx551qr-hb120t.html,,,0,80990000,,0,zephyrus duo 15 se gx551qr-hb120t,asus,amd,5980hx,32,1024,15.6,120,90,windows 10,gx551qr-hb120t,3840 x 2160,yes,,,2.48,yes,yes,360,yes,ips,yes,yes,ssd,yes,20.9,yes,yes,268,1,nvidia
332,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-g713qm-k4183t.html,,,20,41490000,,0,gaming rog strix g17 g713qm-k4183t,asus,amd,5900hx,16,512,17.3,165,90,windows 10,g713qm-k4183t,2560 x 1440,yes,,,2.73,yes,yes,395,yes,,yes,,ssd,yes,23.4,yes,yes,282,1,nvidia
333,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc.html,,,27,34790000,,0,gaming rog zephyrus g14 ga401qc,asus,amd,5800hs,16,512,14,144,76,windows 10,ga401qc,1920 x 1080,yes,,,1.73,yes,no,324,yes,ips,yes,,ssd,yes,19.9,yes,yes,220,1,nvidia
334,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz032t.html,,,40,31490000,5,1,gaming rog zephyrus g14 ga401qc-hz032t,asus,amd,5800hs,16,512,14,144,76,windows 10,ga401qc-hz032t,1920 x 1080,yes,,,1.7,yes,no,,yes,ips,yes,,ssd,yes,,yes,yes,,1,nvidia
335,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz100t.html,,,13,35990000,,0,gaming rog zephyrus g14 ga401qc-hz100t,asus,amd,5900hs,16,512,14,144,76,windows 10,ga401qc-hz100t,1920 x 1080,yes,,,1.7,yes,no,324,yes,ips,yes,,ssd,yes,19.9,yes,yes,220,1,nvidia
336,nvidia geforce gtx 1050,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz133t.html,,,14,35990000,4,1,gaming rog zephyrus g14 ga401qc-hz133t,asus,amd,5900hs,16,512,14,144,76,windows 10,ga401qc-hz133t,1920 x 1080,yes,,,1.73,yes,no,324,yes,ips,yes,no,ssd,yes,19.9,yes,yes,220,1,nvidia
337,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qec-k2064t.html,,,19,42490000,,0,gaming rog zephyrus g14 ga401qec-k2064t,asus,amd,5900hx,16,1024,14,120,76,windows 10,ga401qec-k2064t,2560 x 1440,yes,,plastic,1.7,yes,no,324,yes,ips,yes,,ssd,yes,19.9,yes,yes,222,1,nvidia
338,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2026t.html,,,4,39490000,,0,gaming rog zephyrus g14 ga401qe-k2026t,asus,amd,5800hs,16,1024,14,120,76,windows 10,ga401qe-k2026t,2560 x 1440,yes,,,1.7,yes,no,324,yes,ips,yes,,ssd,no,19.9,yes,yes,220,1,nvidia
339,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g15-ga503qm.html,,,19,39900000,,0,gaming rog zephyrus g15 ga503qm-hq097t,asus,amd,5800hs,16,512,15.6,165,90,windows 10,ga503qm-hq097t,2560 x 1440,yes,,,2,yes,no,360,yes,ips,yes,,ssd,yes,18.9,yes,yes,252,1,nvidia
340,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g15-ga503qm-hq158t.html,,,4,43490000,,0,gaming rog zephyrus g15 ga503qm-hq158t,asus,amd,5900hs,16,512,15.6,165,90,windows 10,ga503qm-hq158t,2560 x 1440,yes,,plastic,1.9,yes,yes,355,yes,,yes,,ssd,yes,19.9,yes,yes,243,1,nvidia
341,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-rog-zephyrus-m16-gu603hr-k8036t.html,,,4,68990000,,0,rog zephyrus m16 gu603hr-k8036t,asus,intel,11900h,32,2048,16,165,90,windows 10,gu603hr-k8036t,2560 x 1600,yes,,,1.9,yes,yes,355,yes,ips,yes,yes,ssd,yes,19.9,yes,yes,243,1,nvidia
342,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-dash-f15-fx516pc-hn011t.html,,,12,24990000,,0,tuf dashf15 fx516pc-hn011t,asus,intel,11300h,8,512,15.6,144,76,windows 10,fx516pc-hn011t,1920 x 1080,yes,,plastic,2,yes,yes,360,yes,ips,yes,,ssd,yes,19.9,yes,yes,252,1,nvidia
343,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506qm.html,,,24,31590000,,0,tuf gaming fa506qm-hn005t,asus,amd,5800h,16,1024,15.6,144,90,windows 10,fa506qm-hn005t,1920 x 1080,yes,,,2.3,yes,no,359,yes,ips,yes,,ssd,yes,22.8,yes,yes,256,1,nvidia
344,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-ryzen-7.html,,,106,25990000,5,5,tuf gaming fa506iu-al127t,asus,amd,4800h,8,512,15.6,144,90,windows 10,fa506iu-al127t,1920 x 1080,yes,,,2.3,yes,yes,359,yes,ips,no,yes,ssd,yes,24.7,yes,yes,256,1,nvidia
345,nvidia geforce gtx 1650,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706ih-hx180t.html,,,44,19790000,,0,gaming tuf fa706ih-hx180t,asus,amd,4600h,8,512,17.3,144,48,windows 10,fa706ih-hx180t,1920 x 1080,yes,,plastic,2.6,yes,no,399,yes,ips,yes,,ssd,yes,25.2,yes,yes,269,1,nvidia
346,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706iu.html,,,25,26990000,5,1,tuf gaming fa706iu-h7133t,asus,amd,4800h,8,512,17.3,120,90,windows 10,fa706iu-h7133t,1920 x 1080,yes,,,2.6,yes,yes,399,yes,ips,yes,,ssd,yes,25.2,yes,yes,269,1,nvidia
347,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706iu-hx406t.html,,,27,26990000,5,1,tuf gaming a17 fa706iu-hx406t,asus,amd,4800h,8,512,17.3,144,90,windows 10,fa706iu-hx406t,1920 x 1080,yes,,,2.6,yes,no,399,yes,ips,yes,,ssd,yes,25.2,yes,yes,269,1,nvidia
348,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pc-hn002t.html,,,29,24990000,,0,tuf dash f15 fx516pc-hn002t,asus,intel,11300h,8,512,15.6,144,76,windows 10,fx516pc-hn002t,1920 x 1080,yes,,plastic,2,yes,yes,360,yes,ips,yes,,ssd,yes,19.9,yes,yes,252,1,nvidia
349,nvidia geforce rtx 3070,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html,,,7,36990000,,0,tuf gaming fa506qr-az003t,asus,amd,5800h,16,512,15.6,240,90,windows 10,fa506qr-az003t,1920 x 1080,yes,,,2.3,yes,yes,359,yes,ips,yes,,ssd,yes,22.8,yes,yes,256,1,nvidia
350,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506lu.html,,,72,,5,1,gaming fx506lu-hn138t,asus,intel,10870h,8,512,15.6,144,90,windows 10,fx506lu-hn138t,1920 x 1080,yes,,,2.3,,yes,359,yes,ips,yes,yes,ssd,yes,24.7,no,yes,256,1,nvidia
351,nvidia geforce rtx 3050 ti,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx516pe-hn005t.html,,,28,28790000,,0,tuf gaming fx516pe-hn005t,asus,intel,11370h,8,512,15.6,60,76,windows 10,fx516pe-hn005t,1920 x 1080,yes,,plastic,2,yes,yes,360,yes,ips,no,,ssd,yes,19.9,no,yes,252,1,nvidia
352,intel uhd graphics,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea-i3-ssd-256gb.html,,,51,14990000,5,1,vivobook 14 a415ea-eb557t,asus,intel,1115g4,8,256,14,60,42,windows 10,a415ea-eb557t,1920 x 1080,yes,,,1.4,,no,324,no,ips,yes,,ssd,yes,17.9,yes,yes,215,1,intel
353,intel uhd graphics,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea-i3-ram-4gb.html,,,166,15160000,4.75,4,vivobook 15 a515ea,asus,intel,1115g4,4,512,15.6,60,42,windows 10,a515ea,1920 x 1080,yes,,aluminum,1.8,no,no,359,yes,ips,yes,,ssd,yes,17.9,yes,yes,235,1,intel
354,nvidia geforce mx330,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ep-i5.html,,,64,19190000,,0,vivobook 15 a515ep-bq195t,asus,intel,1135g,8,512,15.6,60,42,windows 10,a515ep-bq195t,1920 x 1080,yes,,,1.7,,no,359,yes,ips,yes,,ssd,yes,17.9,yes,yes,235,1,nvidia
355,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-15-d515ua.html,,,55,13990000,,0,vivobook d515ua-ej045t,asus,amd,5500u,4,512,15.6,60,,windows 10,d515ua-ej045t,1920 x 1080,yes,,,1.8,,no,360,yes,,yes,,ssd,yes,19.9,yes,yes,235,1,amd
356,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-15-m513ia-ryzen-7.html,,,38,18490000,,0,vivobook 15 m513ia-ej283t,asus,amd,4700u,8,512,15.6,60,42,windows 10,m513ia-ej283t,1920 x 1080,yes,,,1.8,,no,359.8,yes,,no,,ssd,yes,18.6,yes,yes,235.3,1,amd
357,intel uhd graphics 600,https://cellphones.com.vn/laptop-asus-vivobook-15-x515ma-celeron-n4020.html,,,85,7990000,5,1,vivobook x515ma-br112t,asus,intel,n4020,4,256,15.6,60,37,windows 10,x515ma-br112t,1366 x 768,yes,,,1.8,no,no,360,yes,,yes,,ssd,yes,19.9,yes,yes,235,1,intel
358,intel uhd graphics,https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb558t.html,,,14,14990000,,0,vivobook a415ea-eb558t,asus,intel,1115g4,8,256,14,60,42,windows 10,a415ea-eb558t,1920 x 1080,yes,,plastic,1.4,,no,324,no,ips,yes,yes,ssd,no,17.9,yes,yes,215,1,intel
359,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-vivobook-a515ea-bq1530t.html,,,11,14990000,,0,vivobook a515ea-bq1530t,asus,intel,1115g4,4,512,15.6,60,42,windows 10,a515ea-bq1530t,1920 x 1080,yes,,plastic,1.7,,no,359,,ips,yes,yes,ssd,no,17.9,yes,yes,235,1,intel
360,intel uhd graphics,https://cellphones.com.vn/laptop-asus-vivobook-a515ea-bq1532t.html,,,8,14990000,,0,vivobook a515ea-bq1532t,asus,intel,1115g4,4,512,15.6,60,42,windows 10,a515ea-bq1532t,1920 x 1080,yes,,,1.8,,no,359,no,,no,,ssd,yes,17.9,yes,yes,235,1,intel
361,nvidia geforce mx330,https://cellphones.com.vn/laptop-asus-vivobook-a515ep-bq630t.html,,,2,22990000,,0,vivobook a515ep-bq630t,asus,intel,1165g7,8,512,15.6,60,42,windows 10,a515ep-bq630t,1920 x 1080,yes,,plastic,1.7,,no,359,yes,ips,yes,yes,ssd,no,17.9,yes,yes,235,1,nvidia
362,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej711t.html,,,60,12390000,5,1,vivobook d515da-ej711t,asus,amd,3250u,4,512,15.6,60,37,windows 10,d515da-ej711t,1920 x 1080,yes,,plastic,1.8,,no,360,yes,tn,yes,,ssd,yes,19.9,yes,yes,235,1,amd
363,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ia.html,,,218,17190000,,0,vivobook flip tm420ia-ec031t,asus,amd,4500u,8,512,14,60,50,windows 10,tm420ia-ec031t,1920 x 1080,yes,,aluminum,1.5,yes,no,324,yes,ips,yes,,ssd,yes,18.2,yes,yes,220,1,amd
364,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ia-ec227t.html,,,116,19590000,,0,vivobook flip 14 tm420ia-ec227t,asus,amd,4700u,8,512,14,60,42,windows 10,tm420ia-ec227t,1920 x 1080,yes,,plastic,1.5,yes,no,324,yes,ips,yes,no,ssd,yes,18.2,yes,yes,220,1,amd
365,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ia-ryzen-5-ram-4gb-ssd-256gb.html,,,94,,,0,vivobook flip tm420ia-ec155t,asus,amd,4300u,4,256,14,60,42,windows 10,tm420ia-ec155t,1920 x 1080,yes,,plastic,1.5,yes,no,324,yes,ips,yes,,ssd,yes,18.2,yes,yes,220,1,amd
366,amd radeon graphics,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua-ec024t.html,,,0,,,0,vivobook flip 14 tm420ua-ec024t,asus,amd,5700u,8,512,14,60,42,windows 10,tm420ua-ec024t,1920 x 1080,yes,,,1.5,yes,no,324,yes,,yes,,ssd,no,18.2,yes,yes,220,1,amd
367,intel uhd graphics 620,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp412fa-27396.html,,,61,,5,3,vivobook flip tp412fa,asus,intel,10210u,8,512,14,60,42,windows 10,,1920 x 1080,yes,,,1.5,,no,327,,,no,,ssd,yes,17.6,no,yes,224.75,1,intel
368,intel uhd graphics 620,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp412fa-i3.html,,,41,,5,1,vivobook flip tp412fa,asus,intel,10110u,4,512,14,60,42,windows 10,,1920 x 1080,yes,,,1.5,,no,302,,,no,,ssd,no,16.9,yes,yes,189,1,intel
