ID,GPU,Index_cellphones,Index_fpt,Index_tgdd,Comment_count,Price,Rating,Rating_count,Series,Brand,cpu_brand,cpu_code,ram_size,storage_size,displ_size,displ_rate,Battery,OS,P/N,displ_resolution,hdmi,Release_year,Surface,Weight,backlit_keyboard,lan,length,ram_upgradable,screen_technology,sd_card,storage_extra_slot,storage_type,headphone_jack,thickness,type_c,usb_a,width,Availabe_in,GPU_brand
199,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-ux482ea-ka274t.html,88,https://www.thegioididong.com/laptop/asus-zenbook-ux482ea-i5-ka274t?src=osp#top-tskt,3,32326333.33,,0,zenbook duo ux482ea ka274t,asus,intel,1135g7,8,512,14,60,70,windows 10,ka274t,1920 x 1080,yes,2021,metal,1.62,yes,no,324,no,ips,yes,no,ssd,yes,17.3,yes,yes,222,3,intel
200,nvidia geforce rtx 3060,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-5831.html,90,https://www.thegioididong.com/laptop/acer-nitro-5-gaming-an515-57-5831-i5-nhqdgsv003?src=osp#top-tskt,183,32169500,,0,nitro 5 gaming an515 57 5831 nh.qdgsv.003,acer,intel,11400h,8,512,15.6,144,57.5,windows 10,nh.qdgsv.003,1920 x 1080,yes,2021,plastic,2.2,yes,yes,363.4,yes,ips,no,yes,ssd,yes,23.9,yes,yes,255,3,nvidia
201,nvidia geforce gtx 1660 ti,https://cellphones.com.vn/laptop-dell-gaming-g3-3500-g3500b.html,92,https://www.thegioididong.com/laptop/dell-gaming-g3500b-i7-p89f002g3500b?src=osp#top-tskt,251,31093000,3,2,gaming g3 p89f002g3500b,dell,intel,10750h,16,512,15.6,120,68,windows 10,p89f002g3500b,1920 x 1080,yes,2020,plastic,2.58,yes,yes,364.46,yes,va,yes,yes,ssd,yes,30.96,no,yes,254,3,nvidia
202,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx706hc-hx009t.html,98,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx706hc-i7-hx009t?src=osp#top-tskt,79,28893000,,0,tuf gaming fx706hc hx009t,asus,intel,11800h,8,512,17.3,144,48,windows 10,hx009t,1920 x 1080,yes,2021,"metal, plastic",2.6,yes,yes,399,yes,ips,no,yes,ssd,yes,23.9,yes,yes,269,3,nvidia
203,nvidia geforce rtx 3050,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pc-hn001t.html,100,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx516pc-i7-hn001t?src=osp#top-tskt,93,28156666.67,,0,tuf gaming fx516pc hn001t,asus,intel,11370h,8,512,15.6,144,76,windows 10,hn001t,1920 x 1080,yes,2021,"metal, plastic",2,yes,yes,360,yes,ips,no,yes,ssd,yes,19.9,yes,yes,252,3,nvidia
204,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki429t.html,116,https://www.thegioididong.com/laptop/asus-zenbook-ux425ea-i5-ki429t?src=osp#top-tskt,2492,23626333.33,3.529230769,65,zenbook ux425ea ki429t,asus,intel,1135g7,8,512,14,60,67,windows 10,ki429t,1920 x 1080,yes,2020,metal,1.17,yes,no,319,no,ips,yes,no,ssd,no,13.9,yes,yes,208,3,intel
205,intel iris xe graphics,https://cellphones.com.vn/laptop-msi-modern-14-b11mou-848vn.html,120,https://www.thegioididong.com/laptop/msi-modern-14-b11mou-i7-847vn?src=osp#top-tskt,203,21606333.33,,0,modern 14 b11mou 847vn,msi,intel,1195g7,8,512,14,60,39,windows 10,847vn,1920 x 1080,yes,2021,metal,1.3,yes,no,319,yes,ips,yes,no,ssd,yes,16.9,yes,yes,219,3,intel
206,intel iris xe graphics,https://cellphones.com.vn/laptop-msi-modern-15-a11m-678vn.html,123,https://www.thegioididong.com/laptop/msi-modern-15-a11mu-i5-680vn?src=osp#top-tskt,1301,19259666.67,4.2,67,modern 15 a11mu 680vn,msi,intel,1155g7,8,512,15.6,60,52,windows 10,680vn,1920 x 1080,yes,2021,metal,1.6,yes,no,356.8,yes,ips,yes,yes,ssd,yes,16.9,yes,yes,233.75,3,intel
207,nvidia geforce mx330,https://cellphones.com.vn/laptop-asus-vivobook-a515ep-bq498t.html,127,https://www.thegioididong.com/laptop/asus-vivobook-a515ep-i5-bn334?src=osp#top-tskt,902,19859666.67,2.9,23,vivobook a515ep bn334t,asus,intel,1135g7,8,512,15.6,60,42,windows 10,bn334t,1920 x 1080,yes,2020,"metal, plastic",1.8,no,no,359,yes,ips,yes,yes,ssd,yes,17.9,yes,yes,235,3,nvidia
208,intel iris xe graphics,https://cellphones.com.vn/laptop-asus-vivobook-x515ep.html,135,https://www.thegioididong.com/laptop/asus-vivobook-a515ea-i5-l12032t?src=osp#top-tskt,230,18659666.67,3.583333333,6,vivobook a515ea oled l12032t,asus,intel,1135g7,8,512,15.6,60,42,windows 10,l12032t,1920 x 1080,yes,2021,"metal, plastic",1.8,no,no,359,yes,oled,yes,yes,ssd,yes,17.9,yes,yes,235,3,intel
209,intel iris xe graphics,https://cellphones.com.vn/laptop-hp-240-g8-3d3h6pa.html,136,https://www.thegioididong.com/laptop/hp-240-g8-i5-518v6pa?src=osp#top-tskt,1271,17193000,4,8,240 g8 518v6pa,hp,intel,1135g7,8,256,14,60,41,windows 10,518v6pa,1920 x 1080,yes,2021,plastic,1.426,no,yes,324,yes,ips,no,yes,ssd,yes,19.9,yes,yes,225.9,3,intel
