P/N,rating,rating_count,comment_count,Brand,Series,price,cpu_brand,cpu_code,RAM,RAM_upgradable,GPU,battery_wh,storage_type,storage_size,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
82L3005FVN,5.0,1.0,104.0,Lenovo,Ideapad 5 Pro 14ITL6 i7 1165G7/82L3005FVN,26699000,Intel,1165G7,16,Yes,NVIDIA Geforce MX450 2GB,--,SSD,512,Yes,14.0,--,60,"IPS LCD LED Backlit, True Tone",1.41,308,221.7,15.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
2019,5.0,1.0,127.0,Microsoft,Surface Pro 7/Core i5-1035G4,25999000,Intel,1035G4,8,Yes,Intel Iris Plus Graphics,65 W,SSD,128,Yes,12.3,2736 x 1824,60,--,0.775,201,8.5,292,Windows 10,Hợp kim Magie,Trung Quốc,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82N7002LVN,5.0,1.0,1.0,Lenovo,Yoga 7 14ACN6 R7 5800U/82N7002LVN,25299000,AMD,5800U,8,Yes,AMD Radeon Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,--,IPS LCD,1.45,320.34,214.6,15.69,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
V4I7015W,5.0,1.0,216.0,Dell,Vostro V3400 i7 1165G7,25219000,Intel,1165G7,8,Yes,NVIDIA® GeForce® MX330 2GB,45 W,SSD,512,Yes,14.0,1920 x 1080,60,Anti-glare LED-backlit,1.81,361.4,249,199,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2Z6J6PA,5.0,1.0,53.0,HP,Probook 440 G8 i7 1165G7,25190000,Intel,1165G7,16,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1200,--,--,1.4,324,212.4,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NH.QD8SV.002,4.0,8.0,1795.0,Acer,Nitro Gaming AN515-57-51G6/i5-11400H,24699000,Intel,11400H,8,Yes,NVIDIA GeForce RTX3050 4GB,--,SSD,512,Yes,15.6,1920 x 1080,144,Acer ComfyView LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
4ZR1C39165,5.0,1.0,24.0,Fujitsu,CH 9C13A1 i5 1135G7/4ZR1C39165,24499000,Intel,1135G7,8,Yes,Intel Iris Xe Graphics,30 W,SSD,512,Yes,13.3,1920 x 1080,--,Anti-glare LED-backlit,0.995,307,208,15.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
70253898,5.0,1.0,154.0,Dell,Inspiron N3501 i7 1165G7/70253898,23869000,Intel,1165G7,8,Yes,NVIDIA GeForce MX330 2GB,65 W,SSD,512,Yes,15.6,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.96,363.96,249,19.9,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82K1004YVN,5.0,1.0,292.0,Lenovo,Gaming 3 15IHU6 i5 11300H/82K1004YVN,23699000,Intel,11300H,8,Yes,NVIDIA GeForce RTX 3050 4GB,45 W,SSD,512,Yes,15.6,1920 x 1080,120,IPS LCD,2.25,356.67,251,24.4,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
7G3982,4.0,4.0,214.0,Dell,Vostro V3500 i7 1165G7,23299000,Intel,1165G7,8,Yes,GeForce MX330 2GB,45 W,SSD,512,Yes,15.6,1920 x 1080,60,Anti-glare LED-backlit,1.81,361.4,249,199,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70262927,5.0,1.0,7.0,Dell,Inspiron N5410 i5 1155G7/70262927,23299000,Intel,1155G7,8,Yes,Intel Iris Xe Graphics,65 W,SSD,512,Yes,14.0,1920 x 1080,60,WVA Anti-glare LED Backlit Narrow Border,1.65,322,212,18,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,Yes,No
