url,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_brand,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,screen_technology,Weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
https://www.thegioididong.com/laptop/hp-15s-fq2602tu-i5-4b6d3pa?src=osp#top-tskt,4b6d3pa,0.0,0,107,hp,15s fq2602tu 4b6d3pa,15790000.0,intel,1135g7,8.0,yes,intel iris xe graphics,41.0,256,ssd,yes,15.6,1366 x 768,60,,1.7,358.5,242.0,18.0,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/dell-vostro-3405-r5-v4r53500u001w?src=osp#top-tskt,v4r53500u001w,4.7,4,393,dell,vostro 3405 v4r53500u001w,16490000.0,amd,3500u,4.0,yes,amd radeon vega 8 graphics,42.0,256,ssd,yes,14.0,1920 x 1080,60,va,1.7,328.7,239.5,19.9,windows 10,plastic,2020.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/asus-vivobook-a515ea-i3-bn1624t?src=osp#top-tskt,bn1624t,4.0,9,124,asus,vivobook a515ea bn1624t,16490000.0,intel,1115g4,8.0,yes,intel uhd graphics,42.0,512,ssd,yes,15.6,1920 x 1080,60,ips,1.8,359.0,235.0,17.9,windows 10,"metal, plastic",2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/hp-probook-440-g8-i3-51x01pa?src=osp#top-tskt,51x01pa,0.0,0,3,hp,probook 440 g8 51x01pa,15390000.0,intel,1115g4,4.0,yes,intel uhd graphics,45.0,512,ssd,no,14.0,1366 x 768,60,,1.38,321.9,213.9,19.9,windows 10,plastic,2021.0,yes,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70270644?src=osp#top-tskt,70270644,0.0,0,11,dell,vostro 3400 70270644,15890000.0,intel,1115g4,8.0,yes,intel uhd graphics,42.0,256,ssd,yes,14.0,1920 x 1080,60,va,1.64,328.7,239.5,19.9,windows 11,plastic,2021.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/dell-vostro-3400-i3-70253899?src=osp#top-tskt,70253899,1.5,5,171,dell,vostro 3400 70253899,15690000.0,intel,1115g4,8.0,yes,intel uhd graphics,42.0,256,ssd,yes,14.0,1920 x 1080,60,va,1.64,328.7,239.5,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/hp-pavilion-15-eg0542tu-i3-4p5g9pa?src=osp#top-tskt,4p5g9pa,4.1,24,296,hp,pavilion 15 eg0542tu 4p5g9pa,14890000.0,intel,1125g4,4.0,yes,intel uhd graphics,41.0,256,ssd,no,15.6,1920 x 1080,60,ips,1.682,360.2,234.0,17.9,windows 11,metal,2021.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/hp-245-g8-r5-53y22pa?src=osp#top-tskt,53y22pa,0.0,0,9,hp,245 g8 53y22pa,14990000.0,amd,5500u,4.0,yes,amd radeon graphics,41.0,256,ssd,no,14.0,1920 x 1080,60,ips,1.47,324.0,225.9,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,yes,yes,yes
https://www.thegioididong.com/laptop/hp-probook-430-g8-i3-2h0n5pa?src=osp#top-tskt,2h0n5pa,0.0,0,131,hp,probook 430 g8 2h0n5pa,14590000.0,intel,1115g4,4.0,yes,intel uhd graphics,45.0,256,ssd,no,13.3,1366 x 768,60,led,1.28,306.9,208.4,15.9,windows 10,metal,2020.0,yes,yes,no,no,yes,yes,yes
https://www.thegioididong.com/laptop/dell-inspiron-15-3511-i3-p112f001abl?src=osp#top-tskt,p112f001abl,3.7,18,206,dell,inspiron 15 3511 p112f001abl,15290000.0,intel,1115g4,4.0,yes,intel uhd graphics,41.0,256,ssd,yes,15.6,1920 x 1080,60,va,1.7,358.5,235.5,18.9,windows 10,plastic,2021.0,no,yes,yes,no,no,yes,yes
https://www.thegioididong.com/laptop/dell-inspiron-3501-i3-n3501c?src=osp#top-tskt,p90f005n3501c,3.3,10,730,dell,inspiron 3501 p90f005n3501c,14990000.0,intel,1115g4,4.0,yes,intel uhd graphics,42.0,256,ssd,no,15.6,1920 x 1080,60,va,1.96,363.96,249.0,19.9,windows 10,plastic,2020.0,no,yes,yes,yes,no,yes,yes
https://www.thegioididong.com/laptop/msi-modern-14-b11mol-i3-813vn?src=osp#top-tskt,813vn,3.9,149,3424,msi,modern 14 b11mol 813vn,14690000.0,intel,1115g4,8.0,yes,intel uhd graphics,39.0,256,ssd,no,14.0,1920 x 1080,60,ips,1.3,319.0,219.0,18.1,windows 10,metal,2021.0,yes,yes,yes,no,no,yes,yes
https://www.thegioididong.com/laptop/hp-340s-g7-i3-224l1pa?src=osp#top-tskt,224l1pa,2.6,36,443,hp,340s g7 224l1pa,13890000.0,intel,1005g1,4.0,yes,intel uhd graphics,41.0,512,ssd,no,14.0,1920 x 1080,60,ips,1.346,324.0,225.0,17.9,windows 10,plastic,2020.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-eb638t?src=osp#top-tskt,eb638t,4.0,78,765,asus,vivobook x415ea eb638t,14690000.0,intel,1115g4,4.0,yes,intel uhd graphics,37.0,512,ssd,yes,14.0,1920 x 1080,60,led,1.55,325.4,216.0,19.9,windows 10,plastic,2020.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-bq1415w?src=osp#top-tskt,bq1415w,0.0,0,39,asus,vivobook x515ea bq1415w,14690000.0,intel,1115g4,8.0,yes,intel uhd graphics,37.0,256,ssd,yes,15.6,1920 x 1080,60,ips,1.8,360.0,235.0,19.9,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-eb638w?src=osp#top-tskt,eb638w,0.0,0,9,asus,vivobook x415ea eb638w,14690000.0,intel,1115g4,4.0,yes,intel uhd graphics,37.0,512,ssd,yes,14.0,1920 x 1080,60,ips,1.55,325.4,216.0,19.9,windows 11,plastic,2021.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/hp-240-g8-i3-519a8pa?src=osp#top-tskt,519a8pa,0.0,0,59,hp,240 g8 519a8pa,13590000.0,intel,1005g1,4.0,yes,intel uhd graphics,41.0,512,ssd,no,14.0,1920 x 1080,60,ips,1.47,324.0,225.9,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/msi-modern-14-b11mou-i3-849vn?src=osp#top-tskt,849vn,4.0,20,393,msi,modern 14 b11mou 849vn,14190000.0,intel,1115g4,8.0,yes,intel uhd graphics,39.0,256,ssd,no,14.0,1920 x 1080,60,ips,1.3,319.0,219.0,18.1,windows 10,metal,2021.0,yes,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-bq994t?src=osp#top-tskt,bq994t,3.8,126,1476,asus,vivobook x515ea bq994t,13890000.0,intel,1115g4,4.0,yes,intel uhd graphics,37.0,256,ssd,yes,15.6,1920 x 1080,60,ips,1.8,360.2,234.9,19.9,windows 10,plastic,2021.0,no,yes,yes,no,yes,yes,no
https://www.thegioididong.com/laptop/hp-340s-g7-i3-240q4pa?src=osp#top-tskt,240q4pa,3.4,17,530,hp,340s g7 240q4pa,12990000.0,intel,1005g1,4.0,yes,intel uhd graphics,41.0,256,ssd,no,14.0,1920 x 1080,60,ips,1.38,324.0,225.0,17.9,windows 10,plastic,2020.0,no,yes,yes,no,yes,yes,yes
https://www.thegioididong.com/laptop/lenovo-ideapad-3-14iml05-i3-81wa00hpvn?src=osp#top-tskt,81wa00hpvn,3.4,40,561,lenovo,ideapad 3 14iml05 81wa00hpvn,13790000.0,intel,10110u,8.0,yes,intel uhd graphics,35.0,256,ssd,yes,14.0,1920 x 1080,60,ips,1.5,327.1,241.0,19.9,windows 10,plastic,2020.0,no,yes,yes,no,no,yes,yes
https://www.thegioididong.com/laptop/hp-240-g8-i3-519a7pa?src=osp#top-tskt,519a7pa,3.7,7,160,hp,240 g8 519a7pa,12690000.0,intel,1005g1,4.0,yes,intel uhd graphics,41.0,256,ssd,no,14.0,1920 x 1080,60,ips,1.47,324.0,225.9,19.9,windows 10,plastic,2021.0,no,yes,yes,yes,yes,yes,no
https://www.thegioididong.com/laptop/acer-aspire-a315-56-308n-i3-nxhs5sv00c?src=osp#top-tskt,nx.hs5sv.00c,3.8,59,947,acer,aspire a315 56 308n nx.hs5sv.00c,11990000.0,intel,1005g1,4.0,yes,intel uhd graphics,36.7,256,ssd,yes,15.6,1920 x 1080,60,led,1.7,363.4,247.5,19.9,windows 10,plastic,2020.0,no,yes,yes,yes,no,yes,no
