PN,Name,Price,Price Origin,Screen Size,CPU,RAM,Hard Drive,Graphic Card,Weight,Rating,Rating detail,Rating Count,Comment Count
90NR05U1-M00940,ASUS Gaming TUF FX516PC-HN001T/i7-11370H,27790000,28990000,"15.6""",Core i7,8 GB,SSD 512 GB,Nvidia Geforce RTX3050 4GB,2,5,"['1', '0', '0', '0', '0']",1,48
nan,Lenovo Yoga 7 14ITL05 i7 1165G7/82BH00CLVN,27599000,28999000,"14.0""",Core i7,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.43,nan,"['nan', 'nan', 'nan', 'nan', 'nan']",nan,nan
82B500RRVN,Lenovo Gaming Legion 5 R7 4800H,27599000,28999000,"15.6""",Ryzen 7,16 GB,nan,NVIDIA® GeForce® GTX1650Ti 4GB,2.3,5,"['1', '0', '0', '0', '0']",1,306
nan,HP Pavilion Gaming 15 dk1074TX i7 10750H/1K3U8PA,27490000,27490000,"15.6""",Core i7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,2.23 Kg,nan,"['nan', 'nan', 'nan', 'nan', 'nan']",nan,nan
171N3PA,HP Envy x360 13 ay0069AU R7 4700U/171N3PA,27199000,27199000,"13.3""",Ryzen™ 7,8 GB,SSD 256 GB,AMD Radeon Graphics,1.32kg,5,"['1', '0', '0', '0', '0']",1,96
--,Microsoft Surface Pro 7/Core i5-1035G4,26099000,27499000,"12.3""",Core i5,8 GB,SSD 128 GB,Intel Iris Plus Graphics,0.775,5,"['1', '0', '0', '0', '0']",1,78
--,Microsoft Surface Pro 7/Core i5-1035G4,25999000,25999000,"12.3""",Core i5,8 GB,SSD 128 GB,Intel Iris Plus Graphics,0.775,5,"['1', '0', '0', '0', '0']",1,119
90NR07H3-M00090,ASUS Gaming Zephyrus GA401IHR-HZ009T/R7-4800HS,25999000,27999000,"14.0""",Ryzen 7,8 GB,SSD 512 GB,GeForce GTX 1650 4GB,1.6,5,"['1', '0', '0', '0', '0']",1,163
NH.QD9SV.002,Acer Nitro Gaming AN515-57-57MX/i5-11400H,25899000,27499000,"15.6""",Core i5,8 GB,SSD 512 GB,Nvidia Geforce RTX3050Ti 4GB,2.2,5,"['4', '0', '0', '0', '0']",4,265
V4I7015W,Dell Vostro V3400 i7 1165G7,25269000,25999000,"14.0""",Core i7,8 GB,SSD 512 GB,NVIDIA® GeForce® MX330 2GB,1.81,5,"['1', '0', '0', '0', '0']",1,206
2Z6J6PA,HP Probook 440 G8 i7 1165G7,25190000,26190000,"14.0""",Core i7,16 GB,SSD 512 GB,Intel Iris Xe Graphics,1.4,5,"['1', '0', '0', '0', '0']",1,48
51S1121SH,Gigabyte Gaming G5 GD i5 11400H/51S1121SH,24999000,26999000,"15.6""",Core i5,16 GB,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,2.2,5,"['1', '0', '0', '0', '0']",1,97
NH.QENSV.003,Acer Nitro Gaming AN515-57-54MV/i5-11400H,24899000,26499000,"15.6""",Core i5,8 GB,SSD 512 GB,Nvidia Geforce RTX3050 4GB,2.2,5,"['1', '0', '0', '0', '0']",1,178
82A30071VN,Lenovo Yoga Slim 7 14ITL05 i5 1135G7,23999000,25199000,"14.0""",Core i5,16 GB,SSD 512 GB,Intel Iris Xe Graphics,1.36,2,"['1', '0', '0', '0', '2']",3,341
70253898,Dell Inspiron N3501 i7 1165G7/70253898,23869000,24599000,"15.6""",Core i7,8 GB,SSD 512 GB,NVIDIA GeForce MX330 2GB,1.96,5,"['1', '0', '0', '0', '0']",1,150
7G3982,Dell Vostro V3500 i7 1165G7,23299000,23999000,"15.6""",Core i7,8 GB,SSD 512 GB,GeForce MX330 2GB,1.81,4,"['2', '1', '1', '0', '0']",4,184
A515EP-BQ196T,ASUS VivoBook A515EP-BQ196T/i7-1165G7,22499000,23499000,"15.6""",Core i7,8 GB,SSD 512 GB,Nvidia Geforce MX330 2GB,1.8,5,"['1', '0', '0', '0', '0']",1,100
NH.QBMSV.005,Acer Nitro Gaming AN515-45-R3SM/R5-5600H,22324000,23499000,"15.6""",Ryzen 5,8 GB,SSD 512 GB,GeForce GTX 1650 4G-GDDR6,2.2,5,"['1', '0', '0', '0', '0']",1,83
0WT8R1,Dell Inspiron N5510 i5 11300H/0WT8R1,22309000,22999000,"15.6""",Core i5,8 GB,SSD 256 GB,Intel Iris Plus Graphics,1.65,5,"['1', '0', '0', '0', '0']",1,74
90NB0VZ2-M00650,Asus Vivobook Pro M3401QA-KM040T/R7-5800H,22309000,22999000,"14.0""",Ryzen 7,8 GB,SSD 512 GB,AMD Radeon Graphics,1.4,5,"['1', '0', '0', '0', '0']",1,20
46M00PA,HP Pavilion 15 eg0504TU i7 1165G7,22309000,22999000,"15.6""",Core i7,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.68,5,"['1', '0', '0', '0', '0']",1,238
NX.ABNSV.001,Acer Swift 3 SF314-511-59LV/i5-1135G7,21890000,22990000,"14.0""",Core i5,16 GB,SSD 512 GB,Intel Iris Xe Graphics,1.19,5,"['1', '0', '0', '0', '0']",1,70
4P5G3PA,HP Pavilion 14 dv0534TU i7 1165G7/4P5G3PA,21839000,22499000,"14.0""",Core i7,8 GB,SSD 512 GB,Intel Iris Xe Graphics,1.766,5,"['1', '0', '0', '0', '0']",1,86
70253897,Dell Inspiron N3501 i5 1135G7/70253897,21829000,22499000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA GeForce MX330 2GB,1.96,5,"['1', '0', '0', '0', '0']",1,136
YX51W3,Dell Vostro V3400 i5 1135G7/YX51W3,21349000,21999000,"14.0""",Core i5,8 GB,nan,NVIDIA GeForce MX330 2GB,1.55,5,"['1', '0', '0', '0', '0']",1,6
460VN,MSI Modern 14 B11MOU 460VN i7 1165G7,21339000,21999000,"14.0""",Core i7,8 GB,SSD 512 GB,Intel Iris Graphics,1.3,5,"['1', '0', '0', '0', '0']",1,91
014VN,MSI Gaming GF63 10SC 014VN i5 10200H,20990000,20990000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA® GeForce® GTX1650 4GB,2.2,5,"['1', '0', '0', '0', '0']",1,16
P90F006,Dell Vostro V3500 i5 1135G7/P90F006CBL,20849000,21499000,"15.6""",Core i5,8 GB,SSD 512 GB,NVIDIA GeForce MX330 2GB,1.97,5,"['2', '0', '0', '0', '0']",2,68
